title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url
Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024,Dasar-Penilaian-Investasi-Dana-Pensiun -- SEOJK 4-SEOJK.05-2024 Dasar Penilaian Investasi Dana Pensiun.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun/SEOJK%204-SEOJK.05-2024%20Dasar%20Penilaian%20Investasi%20Dana%20Pensiun.pdf
Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024,Dasar-Penilaian-Investasi-Dana-Pensiun -- Abstrak SEOJK 4-SEOJK.05-2024 Dasar Penilaian Investasi Dana Pensiun.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun/Abstrak%20SEOJK%204-SEOJK.05-2024%20Dasar%20Penilaian%20Investasi%20Dana%20Pensiun.pdf
Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024,Dasar-Penilaian-Investasi-Dana-Pensiun -- FAQ SEOJK 4-SEOJK.05-2024 Dasar Penilaian Investasi Dana Pensiun.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun/FAQ%20SEOJK%204-SEOJK.05-2024%20Dasar%20Penilaian%20Investasi%20Dana%20Pensiun.pdf
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,1/SEOJK.06/2024,1 Juli 2024,Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis -- SEOJK 1-SEOJK.06-2024 Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara LPBBTI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis/SEOJK%201-SEOJK.06-2024%20Tata%20Cara%20dan%20Mekanisme%20Penyampaian%20Data%20Transaksi%20Pendanaan%20dan%20Pelaporan%20Penyelenggara%20LPBBTI.pdf
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,1/SEOJK.06/2024,1 Juli 2024,Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Ber -- Abstrak SEOJK 1-SEOJK.06-2024 Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara LPBBTI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis/Abstrak%20SEOJK%201-SEOJK.06-2024%20Tata%20Cara%20dan%20Mekanisme%20Penyampaian%20Data%20Transaksi%20Pendanaan%20dan%20Pelaporan%20Penyelenggara%20LPBBTI.pdf
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),https://www.ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,1/SEOJK.06/2024,1 Juli 2024,Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasi -- FAQ SEOJK 1-SEOJK.06-2024 Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara LPBBTI.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis/FAQ%20SEOJK%201-SEOJK.06-2024%20Tata%20Cara%20dan%20Mekanisme%20Penyampaian%20Data%20Transaksi%20Pendanaan%20dan%20Pelaporan%20Penyelenggara%20LPBBTI.pdf
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,IKNB,Asuransi,Peraturan OJK,8 Tahun 2024,5 Juni 2024,POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,IKNB,Asuransi,Peraturan OJK,8 Tahun 2024,5 Juni 2024,POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- Abstrak POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/Abstrak%20POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,IKNB,Asuransi,Peraturan OJK,8 Tahun 2024,5 Juni 2024,POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi -- FAQ POJK 8 Tahun 2024 Produk Asuransi dan Saluran Pemasaran Produk Asuransi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi/FAQ%20POJK%208%20Tahun%202024%20Produk%20Asuransi%20dan%20Saluran%20Pemasaran%20Produk%20Asuransi.pdf
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,6/SEOJK.07/2024,3 Juni 2024,Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan -- SEOJK 6-SEOJK.07-2024 Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan/SEOJK%206-SEOJK.07-2024%20Pendaftaran%20Penyelenggara%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,6/SEOJK.07/2024,3 Juni 2024,Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan -- Abstrak SEOJK 6-SEOJK.07-2024 Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan/Abstrak%20SEOJK%206-SEOJK.07-2024%20Pendaftaran%20Penyelenggara%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,6/SEOJK.07/2024,3 Juni 2024,Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan -- FAQ SEOJK 6-SEOJK.07-2024 Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan/FAQ%20SEOJK%206-SEOJK.07-2024%20Pendaftaran%20Penyelenggara%20Inovasi%20Teknologi%20Sektor%20Keuangan.pdf
Mekanisme Ruang Uji Coba dan Pengembangan Inovasi,https://www.ojk.go.id/id/regulasi/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,5/SEOJK.07/2024,3 Juni 2024,Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi -- SEOJK 5-SEOJK.07-2024 Mekanisme Ruang Uji Coba dan Pengembangan Inovasi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi/SEOJK%205-SEOJK.07-2024%20Mekanisme%20Ruang%20Uji%20Coba%20dan%20Pengembangan%20Inovasi.pdf
Mekanisme Ruang Uji Coba dan Pengembangan Inovasi,https://www.ojk.go.id/id/regulasi/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,5/SEOJK.07/2024,3 Juni 2024,Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi -- Abstrak SEOJK 5-SEOJK.07-2024 Mekanisme Ruang Uji Coba dan Pengembangan Inovasi.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi/Abstrak%20SEOJK%205-SEOJK.07-2024%20Mekanisme%20Ruang%20Uji%20Coba%20dan%20Pengembangan%20Inovasi.pdf
