Title,URL,Description,Regulation Number,Sector,Sub Sector,Regulation Type,Year,status
Dasar Penilaian Investasi Dana Pensiun,/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 4/SEOJK.05/2024 tentang Dasar Penilaian Investasi Dana Pensiun.,4/SEOJK.05/2024,IKNB,Dana Pensiun,Surat Edaran OJK,2024,Success
Tata Cara dan Mekanisme Penyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 1/SEOJK.06/2024 Tentang Tata Cara dan Mekanisme Panyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi​.,1/SEOJK.06/2024,IKNB,Peraturan Lainnya,Surat Edaran OJK,2024,Success
Produk Asuransi dan Saluran Pemasaran Produk Asuransi,/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,Peraturan Otoritas Jasa Keuangan Nomor 8 Tahun 2024 tentang Produk Asuransi dan Saluran Pemasaran Produk Asuransi,8 Tahun 2024,IKNB,Asuransi,Peraturan OJK,2024,Success
Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan,/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,Surat Edaran Otoritas Jasa Keuangan Nomor 6/SEOJK.07/2024​ tentang Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.,6/SEOJK.07/2024,IKNB,Peraturan Lainnya,Surat Edaran OJK,2024,Success
Mekanisme Ruang Uji Coba dan Pengembangan Inovasi,/id/regulasi/Pages/Mekanisme-Ruang-Uji-Coba-dan-Pengembangan-Inovasi.aspx,Surat Edaran Otoritas Jasa Keuangan Nomor 5/SEOJK.07/2024 tentang Mekanisme Ruang Uji Coba dan Pengembangan Inovasi.,5/SEOJK.07/2024,IKNB,Peraturan Lainnya,Surat Edaran OJK,2024,Success
Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek,/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx,Peraturan Otoritas Jasa Keuangan Nomor 6 Tahun 2024 tentang Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek.,6 Tahun 2024,Pasar Modal,Perusahaan Efek,Peraturan OJK,2024,Success
Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat,/id/regulasi/Pages/Laporan-Bulanan-Badan-Pengelola-Tabungan-Perumahan-Rakyat.aspx,​Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 2/SEOJK.06/2024 Tentang Laporan Bulanan Badan Pengelola Tabungan Perumahan Rakyat.,2/SEOJK.06/2024,IKNB,Peraturan Lainnya,Surat Edaran OJK,2024,Success
Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,/id/regulasi/Pages/POJK-7-Tahun-2024-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah.aspx,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7 Tahun 2024 tentang Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.,7 Tahun 2024,Perbankan,"BPR, Perbankan Syariah",Peraturan OJK,2024,Success
Laporan Bulanan Perusahaan Pembiayaan Sekunder Perumahan,/id/regulasi/Pages/Laporan-Bulanan-Perusahaan-Pembiayaan-Sekunder-Perumahan.aspx,Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 3/SEOJK.06/2024 Tentang Laporan Bulanan Perusahaan Pembiayaan Sekunder Perumahan​.,3/SEOJK.06/2024,IKNB,"Lembaga Pembiayaan, Peraturan Lainnya",Surat Edaran OJK,2024,Success
Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum,/id/regulasi/Pages/POJK-5-Tahun-2024-Penetapan-Status-Pengawasan-dan-Penanganan-Permasalahan-Bank-Umum.aspx,Peraturan Otoritas Jasa Keuangan​ Nomor 5 Tahun 2024 tentang Penetapan Status Pengawasan dan Penanganan Permasalahan Bank Umum.,5 Tahun 2024,Perbankan,Bank Umum,Peraturan OJK,2024,Success
